,cluster,pair,gene_i,gene_j,prop_this_cluster,prop_not_cluster,sum_dist_cluster,sum_dist_not_cluster,avg_dist_cluster,avg_dist_not_cluster,med_dist_cluster,med_dist_not_cluster,prop_diff,n1,n2
60,cluster1,60,66,12168,0.973684210526316,0.472527472527473,12.6627973166667,-6.72773376777778,0.296219203888889,-0.0171420733333335,0.333231508333333,-0.0392227506481482,0.501156737998843,38,182
61,cluster1,61,66,12350,0.868421052631579,0.335164835164835,5.26565951777778,-9.88845563444445,0.145929816666667,-0.062663393888889,0.138569987309942,-0.0574517587345679,0.533256217466744,38,182
62,cluster1,62,66,12433,0.868421052631579,0.335164835164835,8.06524974222222,-27.6030911166667,0.193095378333334,-0.119417176666666,0.212243414269006,-0.147909062641975,0.533256217466744,38,182
63,cluster1,63,68,1026,0.868421052631579,0.340659340659341,9.50428135222221,-26.6019042488889,0.226057612777778,-0.165664593333333,0.250112667163742,-0.14825869112963,0.527761711972238,38,182
64,cluster1,64,68,4347,0.868421052631579,0.357142857142857,8.64714192333333,-22.0874214411111,0.183568133888889,-0.140125741666667,0.227556366403509,-0.12189428741358,0.511278195488722,38,182
65,cluster1,65,69,2544,0.868421052631579,0.32967032967033,4.84508979444445,-35.3380783802381,0.137252283253968,-0.129918838928571,0.127502363011696,-0.190678932984127,0.538750722961249,38,182
66,cluster1,66,70,1026,0.894736842105263,0.373626373626374,6.46118449,-18.3185299777778,0.181311958333334,-0.0780470288888885,0.170031170789474,-0.0994421126111112,0.52111046847889,38,182
67,cluster1,67,72,4790,0.210526315789474,0.714285714285714,-3.29675901777778,16.7006314177778,-0.052959993888889,0.0929102872222225,-0.08675681625731,0.0920197311296296,-0.503759398496241,38,182
68,cluster1,68,72,7185,0.289473684210526,0.802197802197802,-2.58544787333334,18.3261139777778,-0.0516264200000001,0.105291615555556,-0.0680381019298247,0.101921400135803,-0.512724117987276,38,182
69,cluster1,69,73,2591,0.947368421052632,0.417582417582418,20.5720141544444,-26.2711085777778,0.472140082777776,-0.182722087777778,0.541368793538011,-0.141006957919753,0.529786003470214,38,182
70,cluster1,70,73,4533,0.736842105263158,0.192307692307692,9.09206808777776,-78.8478956377778,0.233417837222223,-0.454380854444443,0.239264949678362,-0.432246166740741,0.544534412955466,38,182
71,cluster1,71,73,5629,0.763157894736842,0.247252747252747,7.67592494666666,-42.3632492277777,0.209511965,-0.259452098333331,0.201998024912281,-0.233789235925926,0.515905147484095,38,182
72,cluster1,72,73,7445,0.763157894736842,0.252747252747253,10.0827160544444,-55.2246702166667,0.23457121888889,-0.298445878333329,0.265334633011695,-0.302433722055556,0.510410641989589,38,182
73,cluster1,73,73,7997,0.657894736842105,0.0934065934065934,3.8376799022222,-132.183399747778,0.11021339888889,-0.714283154444443,0.100991576374268,-0.7251993555,0.564488143435512,38,182
74,cluster1,74,73,12250,0.921052631578947,0.406593406593407,22.3470781011111,-35.1129988833333,0.572947192222222,-0.194418837222224,0.588081002660818,-0.191102198314815,0.514459224985541,38,182
75,cluster1,75,75,2131,0.736842105263158,0.230769230769231,7.36631239333331,-55.8307696133333,0.114604643888889,-0.285578976666669,0.19385032614035,-0.305546271901235,0.506072874493927,38,182
76,cluster1,76,75,3792,0.657894736842105,0.131868131868132,3.61473531333334,-71.5239346666666,0.0958709833333335,-0.399370579999996,0.0951246135087721,-0.390327503148148,0.526026604973973,38,182
77,cluster1,77,75,6522,0.605263157894737,0.0824175824175824,2.17254319222222,-93.0274190733333,0.06778578277778,-0.484024560555557,0.0571721892690059,-0.506757200790123,0.522845575477154,38,182
78,cluster1,78,79,7041,0.342105263157895,0.851648351648352,-3.24822280888888,41.2870867888889,-0.0770319027777775,0.232306986111111,-0.0854795476023391,0.229630589493827,-0.509543088490457,38,182
79,cluster1,79,80,1000,0.921052631578947,0.412087912087912,4.76306689666667,-10.9499025588889,0.100112103888889,-0.0390473816666666,0.125343865701754,-0.0585528983209877,0.508964719491035,38,182
80,cluster1,80,80,2323,0.710526315789474,0.208791208791209,1.81672995,-38.2206214277778,0.0355700805555552,-0.142949330555556,0.0478086828947368,-0.204725634975309,0.501735106998265,38,182
81,cluster1,81,80,2544,0.736842105263158,0.214285714285714,3.17268781222222,-53.3608910311111,0.119023537222223,-0.216612356111111,0.0834917845321638,-0.289623895506173,0.522556390977444,38,182
82,cluster1,82,80,3358,0.736842105263158,0.225274725274725,3.92406298333333,-42.3512353644444,0.15743701,-0.197981583888889,0.103264815350877,-0.230849648376543,0.511567379988433,38,182
83,cluster1,83,80,8199,0.842105263157895,0.318681318681319,3.63504546,-37.0616637688889,0.137839271666667,-0.105820445,0.0956590910526316,-0.201104041290123,0.523423944476576,38,182
84,cluster1,84,84,1026,0.947368421052632,0.445054945054945,9.15748474222222,-8.04201743555557,0.223131361666666,-0.0446243733333335,0.240986440584795,-0.0425289001049384,0.502313475997686,38,182
85,cluster1,85,87,2131,0.789473684210526,0.263736263736264,10.4420366333333,-44.7743529066666,0.191098943888888,-0.232305047222224,0.274790437719298,-0.244545305055555,0.525737420474263,38,182
86,cluster1,86,87,5746,0.605263157894737,0.0934065934065934,1.89553625555552,-77.9798860511111,0.0435930827777775,-0.414072529999998,0.0498825330409348,-0.421975061234568,0.511856564488143,38,182
87,cluster1,87,87,6277,0.947368421052632,0.445054945054945,10.17037717,-0.960945497777776,0.191396268333335,-0.0257248838888886,0.267641504473684,-0.0073724994382716,0.502313475997686,38,182
88,cluster1,88,87,12601,0.921052631578947,0.401098901098901,17.9540234944444,-25.4311057566666,0.431821255555555,-0.114054847777777,0.47247430248538,-0.13402612082716,0.519953730480046,38,182
