,cluster,pair,gene_i,gene_j,prop_this_cluster,prop_not_cluster,sum_dist_cluster,sum_dist_not_cluster,avg_dist_cluster,avg_dist_not_cluster,med_dist_cluster,med_dist_not_cluster,prop_diff
50,cluster5,50,1321,4634,0.225,0.919191919191919,-20.6273090311111,91.7494703466667,-0.46969112833333,0.94053934777778,-0.515682725777777,0.926762326734007,-0.694191919191919
51,cluster5,51,1336,7885,0.075,0.747474747474748,-30.85552199,6.36384896333333,-0.701499876666667,0.140677378888889,-0.77138804975,0.0642813026599326,-0.672474747474748
52,cluster5,52,1347,7885,0.125,0.797979797979798,-28.2225079277778,16.8975901855555,-0.599810331111111,0.224435271111111,-0.705562698194444,0.170682729147026,-0.672979797979798
53,cluster5,53,1359,2740,0.975,0.303030303030303,12.0893915866667,-8.10983398,0.271797378888889,-0.124520357777777,0.302234789666667,-0.081917514949495,0.671969696969697
54,cluster5,54,1530,5923,0.2,0.878787878787879,-8.45751387333334,20.6093300288889,-0.195289002222223,0.203853991111111,-0.211437846833333,0.208175050796857,-0.678787878787879
55,cluster5,55,1530,7333,0.075,0.777777777777778,-17.8016370322222,13.7412155255556,-0.477334742222222,0.181269517777778,-0.445040925805555,0.138800156823793,-0.702777777777778
56,cluster5,56,1555,7520,0.075,0.747474747474748,-13.69362001,14.8039780244444,-0.296326488888887,0.196575414444445,-0.34234050025,0.149535131560045,-0.672474747474748
57,cluster5,57,1576,5992,0.15,0.828282828282828,-14.2809335311111,30.1294778366667,-0.286869710555555,0.349638136666666,-0.357023338277778,0.30433815996633,-0.678282828282828
58,cluster5,58,1614,7333,0.025,0.696969696969697,-22.2749686488889,6.36951003444445,-0.571980862222223,0.0824636799999999,-0.556874216222222,0.0643384851964086,-0.671969696969697
59,cluster5,59,1626,7707,0.225,0.888888888888889,-6.86657784555555,32.4487601577778,-0.156752755555555,0.274471064444445,-0.171664446138889,0.327765254118968,-0.663888888888889
60,cluster5,60,1635,7885,0.15,0.818181818181818,-24.5701717811111,15.2614663366667,-0.505674946666667,0.268698,-0.614254294527778,0.154156225622896,-0.668181818181818
61,cluster5,61,1693,6559,0.025,0.696969696969697,-15.8423779077778,7.54016711555555,-0.369986982222222,0.0615699944444442,-0.396059447694444,0.0761633041975308,-0.671969696969697
62,cluster5,62,1693,7333,0,0.717171717171717,-21.8721206122222,11.7483924122222,-0.501843702777778,0.133612032222222,-0.546803015305555,0.118670630426487,-0.717171717171717
63,cluster5,63,1693,7885,0.125,0.868686868686869,-23.9903649388889,26.1659448033333,-0.522191928333334,0.32577872,-0.599759123472222,0.264302472760943,-0.743686868686869
64,cluster5,64,1707,7885,0.15,0.828282828282828,-24.5296383622222,15.1619547766667,-0.470660468888889,0.240620742222222,-0.613240959055555,0.153151058350168,-0.678282828282828
65,cluster5,65,1712,7333,0.125,0.787878787878788,-16.2816596666667,18.7203029833333,-0.384610820555556,0.236737043333334,-0.407041491666666,0.18909396952862,-0.662878787878788
66,cluster5,66,1712,7885,0.225,0.888888888888889,-18.3999039933333,33.1378553744444,-0.436591077222222,0.413863368888889,-0.459997599833333,0.334725811863075,-0.663888888888889
67,cluster5,67,1713,7885,0.1,0.767676767676768,-26.1034066344444,2.1996549611111,-0.66812064,0.09862571,-0.652585165861111,0.0222187369809202,-0.667676767676768
68,cluster5,68,1748,7885,0.225,0.888888888888889,-15.4451588277778,29.5197631566667,-0.318341435555554,0.322953743333334,-0.386128970694444,0.298179425824916,-0.663888888888889
69,cluster5,69,1785,2554,0.875,0.202020202020202,7.63224078333333,-16.2976399833333,0.154337350000002,-0.148320482222222,0.190806019583333,-0.164622626094276,0.672979797979798
70,cluster5,70,1802,12502,0.15,0.818181818181818,-8.50839380666666,16.8552106488889,-0.204270610555555,0.207007797777777,-0.212709845166667,0.17025465301908,-0.668181818181818
71,cluster5,71,1822,7333,0.025,0.717171717171717,-19.1718194422222,10.2217257911111,-0.410610944444444,0.127979675555556,-0.479295486055555,0.103249755465769,-0.692171717171717
72,cluster5,72,1830,6935,0.1,0.767676767676768,-30.51460246,39.7249305233333,-0.738639536111113,0.552197044444445,-0.7628650615,0.401261924478114,-0.667676767676768
73,cluster5,73,1871,8805,0.825,0.131313131313131,9.72742070555556,-10.8290040155556,0.135270948333333,-0.122108966666666,0.243185517638889,-0.109383878945006,0.693686868686869
74,cluster5,74,1885,7344,0.075,0.737373737373737,-11.5180957077778,17.9186910488889,-0.275698027222222,0.18510612333334,-0.287952392694445,0.180996879281706,-0.662373737373737
75,cluster5,75,1885,7520,0.05,0.747474747474748,-15.85768462,25.2271951444445,-0.355614574999997,0.269994992222227,-0.3964421155,0.254820152974186,-0.697474747474747
76,cluster5,76,1885,12508,0.2,0.909090909090909,-8.29047983555559,54.1948200533334,-0.166759950000001,0.529121815555555,-0.20726199588889,0.547422424781145,-0.709090909090909
77,cluster5,77,1991,4053,0.75,0.0808080808080808,6.35723777666668,-57.7772448355556,0.174932942222223,-0.573764217777778,0.158930944416667,-0.583608533692481,0.669191919191919
78,cluster5,78,1991,5874,0.925,0.232323232323232,21.3042006188889,-37.0459411011111,0.482115713888886,-0.370828383333333,0.532605015472222,-0.374201425263749,0.692676767676768
79,cluster5,79,1991,6277,0.8,0.131313131313131,11.65508876,-40.7559535422222,0.303128391666664,-0.41205343,0.291377219,-0.411676298406285,0.668686868686869
80,cluster5,80,1991,6394,0.75,0.0707070707070707,8.27538813666668,-57.2991130888889,0.162315721111116,-0.595716038888889,0.206884703416667,-0.578778920089787,0.679292929292929
81,cluster5,81,1991,6431,0.875,0.181818181818182,14.5302094666667,-35.8713402866667,0.386709211111109,-0.41615574,0.363255236666667,-0.362336770572391,0.693181818181818
82,cluster5,82,1991,6433,0.925,0.242424242424242,19.0081080234127,-23.1469600910318,0.456133951150791,-0.27976122031746,0.475202700585318,-0.233807677687189,0.682575757575758
83,cluster5,83,1991,6483,0.825,0.111111111111111,10.1072516833333,-66.6388463688889,0.308186995000005,-0.670697473333336,0.252681292083333,-0.673119660291807,0.713888888888889
